"Species_Name","light","temp","cont","moist","react","nutr"
"Achillea millefolium ",8,0,0,4,0,5
"Aconitum lycoctonum",3,4,4,7,7,8
"Aconitum variegatum",5,4,4,7,8,7
"Actaea spicata",3,5,4,5,6,7
"Aegopodium podagraria",5,5,3,6,7,8
"Aethusa cynapium",5,6,4,5,7,7
"Agrostis stolonifera",8,0,5,7,0,5
"Ajuga reptans",6,0,2,6,6,6
"Alisma plantago-aquatica",7,5,0,10,0,8
"Alliaria petiolata",5,6,3,5,7,9
"Anthriscus sylvestris",7,0,5,5,0,8
"Arrhenatherum elatius",8,5,3,0,7,7
"Artemisia vulgaris",7,6,0,6,0,8
"Asarum europaeum",3,6,5,5,7,6
"Athyrium filix-femina",3,0,3,7,0,6
"Bidens frondosa",7,6,0,8,7,8
"Bidens tripartita",8,6,0,9,0,8
"Bromus benekenii",5,5,4,5,7,5
"Calamagrostis arundinacea",6,5,4,5,4,5
"Calamagrostis epigejos",7,5,7,0,0,6
"Caltha palustris",7,0,0,9,0,6
"Calystegia sepium",8,6,5,6,7,9
"Campanula patula",8,6,4,5,7,5
"Campanula trachelium",4,0,3,6,8,8
"Cardamine flexuosa",6,5,2,8,4,5
"Cardamine impatiens",5,0,4,6,7,8
"Carduus personata",7,4,2,8,8,8
"Carex buekii",8,6,6,8,8,6
"Chaerophyllum hirsutum",6,3,4,8,0,7
"Chaerophyllum temulum",5,6,3,5,0,8
"Chelidonium majus",6,6,0,5,0,8
"Circaea alpina",4,4,4,7,5,5
"Cirsium oleraceum",6,0,3,7,7,5
"Clematis vitalba",7,6,3,5,7,7
"Cuscuta europaea",0,6,5,7,0,7
"Cymbalaria muralis",7,7,4,6,8,5
"Dactylis glomerata",7,0,3,5,0,6
"Digitalis grandiflora",7,4,4,5,5,5
"Doronicum austriacum",5,3,4,6,7,7
"Dryopteris dilatata",4,0,3,6,0,7
"Dryopteris filix-mas",3,0,3,5,5,6
"Elymus caninus",6,6,3,6,7,8
"Epilobium angustifolium",8,0,5,5,5,8
"Epilobium hirsutum",7,5,5,8,8,8
"Epilobium montanum",4,0,3,5,6,6
"Epilobium roseum",7,6,4,9,8,8
"Euphorbia dulcis",4,5,2,5,8,5
"Fallopia convolvulus",7,6,0,5,0,6
"Fallopia dumetorum",6,6,4,5,0,7
"Festuca gigantea",4,5,3,7,6,6
"Festuca heterophylla",5,6,4,4,5,5
"Filipendula ulmaria",7,5,0,8,0,5
"Fragaria moschata",6,6,4,5,6,6
"Fragaria vesca",7,0,5,5,0,6
"Galeobdolon montanum",3,4,5,6,7,6
"Galeopsis bifida",7,5,5,5,6,6
"Galeopsis pubescens",7,5,4,5,0,6
"Galeopsis speciosa",7,0,6,5,0,8
"Galium album ssp. album",7,0,3,5,7,5
"Galium aparine",7,6,3,0,6,8
"Galium odoratum",2,5,2,5,6,5
"Galium sylvaticum",5,5,4,5,6,5
"Geranium robertianum",5,0,3,0,0,7
"Geum urbanum",4,5,5,5,0,7
"Glechoma hederacea",6,6,3,6,0,7
"Glyceria fluitans",7,0,3,9,0,7
"Glyceria maxima",9,5,0,10,8,9
"Gymnocarpium dryopteris",3,4,5,6,4,5
"Hepatica nobilis",4,6,4,4,7,5
"Heracleum sphondylium",7,5,2,5,0,8
"Holcus lanatus",7,6,3,6,0,5
"Humulus lupulus",7,6,3,8,6,8
"Impatiens glandulifera",5,7,2,8,7,7
"Impatiens noli-tangere",4,5,5,7,7,6
"Impatiens parviflora",4,6,5,5,0,6
"Iris pseudacorus",7,6,3,9,0,7
"Knautia dipsacifolia",5,4,4,6,6,6
"Lamium maculatum",5,0,4,6,7,8
"Lapsana communis",5,6,3,5,0,7
"Lilium martagon",4,0,5,5,7,5
"Lunaria rediviva",4,5,4,6,7,8
"Lycopus europaeus",7,6,5,9,7,7
"Mentha longifolia",7,5,4,8,9,7
"Mercurialis perennis",2,0,3,0,8,7
"Milium effusum",4,0,3,5,5,5
"Moehringia trinervia",4,5,3,5,6,7
"Mycelis muralis",4,6,2,5,0,6
"Myosotis palustris agg.",7,0,5,8,0,5
"Myosotis sylvatica",6,0,3,5,0,7
"Myosoton aquaticum",7,5,3,8,7,8
"Oxalis acetosella",1,0,3,5,4,6
"Paris quadrifolia",3,0,4,6,7,7
"Persicaria hydropiper",7,6,0,8,5,8
"Phalaris arundinacea",7,5,0,8,7,7
"Poa palustris",7,5,5,9,8,7
"Poa trivialis",6,0,3,7,0,7
"Polygonatum multiflorum",2,0,5,5,6,5
"Prenanthes purpurea",4,4,4,5,5,5
"Pulmonaria obscura",4,5,6,6,8,7
"Ranunculus lanuginosus",3,6,4,6,7,7
"Ranunculus repens",6,0,0,7,0,7
"Rumex aquaticus",7,6,7,8,7,8
"Rumex conglomeratus",8,6,3,7,0,8
"Rumex obtusifolius",7,5,3,6,0,9
"Salvia glutinosa",4,5,4,6,7,7
"Scrophularia nodosa",4,5,3,6,6,7
"Scutellaria galericulata",7,6,5,9,7,6
"Senecio ovatus",7,0,4,5,0,8
"Solanum dulcamara",7,5,0,8,0,8
"Stachys palustris",7,5,0,7,7,6
"Stachys sylvatica",4,0,3,7,7,7
"Stellaria holostea",5,6,3,5,6,5
"Stellaria media",6,0,0,0,7,8
"Stellaria nemorum",4,0,4,7,5,7
"Symphytum officinale",7,6,3,7,0,8
"Torilis japonica",6,6,3,5,8,8
"Urtica dioica",0,0,0,6,7,9
"Valeriana excelsa ssp. sambucifolia",7,6,5,8,6,5
"Verbascum densiflorum",8,6,5,4,8,5
"Verbascum nigrum",7,5,5,5,7,7
"Veronica beccabunga",7,0,3,10,7,6
"Viola reichenbachiana",4,0,4,5,7,6
